FREQ,FREQ_LABEL,REF_AREA,REF_AREA_LABEL,INDICATOR,INDICATOR_LABEL,SEX,SEX_LABEL,UNIT_MEASURE,UNIT_MEASURE_LABEL,DATABASE_ID,DATABASE_ID_LABEL,UNIT_MULT,UNIT_MULT_LABEL,OBS_STATUS,OBS_STATUS_LABEL,OBS_CONF,OBS_CONF_LABEL,2014,2017,2021,2022
A,Annual,CHL,Chile,WB_GS_G20_T,Made or received digital payments in the past year (% age 15+),F,Female,PT,Percentage,WB_GS,Gender Statistics,0,Units,A,Normal value,PU,Public,49.06,61.35,84.12,
A,Annual,CHL,Chile,WB_GS_G20_T,Made or received digital payments in the past year (% age 15+),M,Male,PT,Percentage,WB_GS,Gender Statistics,0,Units,A,Normal value,PU,Public,60.88,69.83,84.48,
A,Annual,CHL,Chile,WB_GS_G20_T,Made or received digital payments in the past year (% age 15+),_T,Total,PT,Percentage,WB_GS,Gender Statistics,0,Units,A,Normal value,PU,Public,54.65,65.38,84.29,
A,Annual,CHN,China,WB_GS_G20_T,Made or received digital payments in the past year (% age 15+),F,Female,PT,Percentage,WB_GS,Gender Statistics,0,Units,A,Normal value,PU,Public,47.13,62.84,84.93,
A,Annual,CHN,China,WB_GS_G20_T,Made or received digital payments in the past year (% age 15+),M,Male,PT,Percentage,WB_GS,Gender Statistics,0,Units,A,Normal value,PU,Public,51.36,70.3,87.31,
A,Annual,CHN,China,WB_GS_G20_T,Made or received digital payments in the past year (% age 15+),_T,Total,PT,Percentage,WB_GS,Gender Statistics,0,Units,A,Normal value,PU,Public,49.28,66.59,86.19,
A,Annual,CIV,Cote d'Ivoire,WB_GS_G20_T,Made or received digital payments in the past year (% age 15+),F,Female,PT,Percentage,WB_GS,Gender Statistics,0,Units,A,Normal value,PU,Public,26.32,33.18,34.97,
A,Annual,CIV,Cote d'Ivoire,WB_GS_G20_T,Made or received digital payments in the past year (% age 15+),M,Male,PT,Percentage,WB_GS,Gender Statistics,0,Units,A,Normal value,PU,Public,33.01,43.01,60.28,
A,Annual,CIV,Cote d'Ivoire,WB_GS_G20_T,Made or received digital payments in the past year (% age 15+),_T,Total,PT,Percentage,WB_GS,Gender Statistics,0,Units,A,Normal value,PU,Public,29.76,38.32,47.66,
A,Annual,CMR,Cameroon,WB_GS_G20_T,Made or received digital payments in the past year (% age 15+),F,Female,PT,Percentage,WB_GS,Gender Statistics,0,Units,A,Normal value,PU,Public,6.55,22.77,47.79,
